region;conditions;view;priming;weight
russkiy;Aquaculture;black;wash;42
russkiy;Natural;black;wash;78.4
russkiy;Aquaculture;gray;stones;85.9
russkiy;Aquaculture;gray;wash;88.9
Alekseeva;Aquaculture;gray;stones;92.8
Popov;Natural;gray;stones;93
Alekseeva;Aquaculture;black;stones;94.9
Popov;Aquaculture;gray;stones;96.9
russkiy;Natural;black;stones;99.3
Alekseeva;Natural;gray;wash;102.7
Alekseeva;Natural;gray;stones;110.4
Popov;Aquaculture;gray;il;114.3
Alekseeva;Natural;gray;il;115.4
russkiy;Natural;gray;stones;115.5
Alekseeva;Aquaculture;black;il;118.3
russkiy;Aquaculture;black;stones;119.8
Alekseeva;Aquaculture;black;wash;125.7
Popov;Aquaculture;black;wash;127.6
Alekseeva;Aquaculture;gray;wash;131.2
Popov;Natural;black;wash;138.6
russkiy;Aquaculture;gray;il;139
russkiy;Natural;gray;wash;142
russkiy;Natural;black;il;153.8
Popov;Aquaculture;black;il;153.9
Popov;Aquaculture;gray;wash;158.6
Alekseeva;Natural;black;il;161.7
Popov;Natural;gray;wash;166.8
Alekseeva;Natural;black;stones;167.2
russkiy;Natural;gray;il;172.4
Popov;Natural;black;stones;172.7
russkiy;Aquaculture;black;il;180
Popov;Aquaculture;black;stones;184
Popov;Natural;gray;il;184.3
Alekseeva;Aquaculture;gray;il;184.9
Popov;Natural;black;il;199.9
Alekseeva;Natural;black;wash;223.7
