Район;Эйфаузиевые;Амфиподы;Копеподы;Декаподы;Птероподы;Ойкоплевры;Сагиты;Нектон;ИНЖ;Размер
Залив_Петра_Великого;4,4;0;1,1;0;0;0;0;94,5;21;20
Залив_Петра_Великого;0,1;14;7,1;0;0;0;0;78,9;11;25
Залив_Петра_Великого;12,7;14;25,2;18,8;8,3;0;1,9;19,1;51;30
Залив_Петра_Великого;11,7;9,7;7,2;54,5;15,1;0;0,2;1,6;24;32
Залив_Петра_Великого;16,9;3,1;1,9;0;6,4;0;0;71,7;151;35
Сахалин;6,9;6,7;38,4;0;12,2;0;0;35,7;70;36
Сахалин;31,1;10,1;7;0,5;13,7;0;0;37,3;112;38
Сахалин;36,5;2,5;6,5;0,3;23;0;0,1;31,1;149;40
Сахалин;44,6;0,1;2;0,5;7;0;0;40,5;151;43
Сахалин;45;25;0,1;0;21;0,1;0;7,8;160;45
Сахалин;87;0;0;0;6;5;0;1,5;51;47
БерМоре;10;20,2;0,1;0;9;10;19;30,2;32;48
БерМоре;48,1;12,9;16,7;0;6,1;0,3;1,8;13,3;179;50
БерМоре;10;20,2;7,6;0,7;9;0;19;29,8;108;52
БерМоре;49,6;27;23,4;0;0;0;0;0;152;54
БерМоре;54,3;34,9;8,5;0,4;0;0;2,2;0;137;56
БерМоре;17,6;61,2;12,6;4,4;0;0;0;4;241;58
